Breite,Laenge,Strasse
49.2702,7.8265,L 496
49.2703,7.8265,L 496
49.2704,7.8265,L 496
49.2703,7.8266,L 496
49.2036,7.8538,K 56
49.2036,7.8539,K 56
49.2036,7.854,K 56
49.2035,7.8541,K 56
49.2034,7.8543,K 56
49.2033,7.8545,K 56
49.2031,7.8547,Unbekannt
49.203,7.8549,Unbekannt
49.2029,7.8551,K 56
49.2027,7.8554,K 56
49.2025,7.8555,K 56
49.2023,7.8557,K 56
49.2021,7.8559,K 56
49.202,7.8565,K 56
49.202,7.8568,K 56
49.202,7.8571,K 56
49.2021,7.8574,K 56
49.2027,7.8574,B 10
49.2028,7.8574,B 10
49.2029,7.8574,B 10
49.203,7.8575,B 10
49.2022,7.8576,K 56
49.2025,7.8576,K 56
49.2023,7.8577,K 56
49.203,7.8577,B 10
49.2031,7.858,B 10
49.2032,7.8583,B 10
49.2032,7.8587,B 10
49.2033,7.8591,B 10
49.2034,7.8596,B 10
49.2034,7.86,B 10
49.2035,7.8605,B 10
49.2035,7.861,B 10
49.2036,7.8617,B 10
49.2037,7.8622,B 10
49.2037,7.8627,B 10
49.2038,7.8631,B 10
49.2038,7.8636,B 10
49.2039,7.8641,B 10
49.2039,7.8645,B 10
49.204,7.865,B 10
49.204,7.8655,B 10
49.2041,7.8659,B 10
49.2042,7.8664,B 10
49.2043,7.8669,B 10
49.2044,7.8673,B 10
49.2045,7.8677,B 10
49.2047,7.8681,B 10
49.2049,7.8685,B 10
49.205,7.8689,B 10
49.2052,7.8693,B 10
49.2054,7.8697,B 10
49.2056,7.8701,B 10
49.2057,7.8705,B 10
49.2059,7.8709,B 10
49.2061,7.8713,B 10
49.2062,7.8718,B 10
49.2063,7.8722,B 10
49.2064,7.8727,B 10
49.2065,7.8732,B 10
49.2065,7.874,B 10
49.2065,7.8745,B 10
49.2064,7.875,B 10
49.2064,7.8755,B 10
49.2063,7.876,B 10
49.2063,7.8766,B 10
49.2062,7.8771,B 10
49.2062,7.8777,B 10
49.2061,7.8782,B 10
49.2061,7.8788,B 10
49.2061,7.8793,B 10
49.2061,7.8797,B 10
49.2062,7.8804,B 10
49.2062,7.8808,B 10
49.2063,7.8812,B 10
49.2064,7.8817,B 10
49.2065,7.8821,B 10
49.2067,7.8826,B 10
49.2068,7.883,B 10
49.207,7.8835,B 10
49.2072,7.8839,B 10
49.2074,7.8842,B 10
49.2076,7.8846,B 10
49.2079,7.8849,B 10
49.2081,7.8852,B 10
49.2085,7.8856,B 10
49.2088,7.8858,B 10
49.2091,7.886,B 10
49.2093,7.8862,B 10
49.2096,7.8864,B 10
49.2099,7.8866,B 10
49.2102,7.8868,B 10
49.2105,7.887,B 10
49.2108,7.8872,B 10
49.2111,7.8874,B 10
49.2114,7.8876,B 10
49.2117,7.8878,B 10
49.2121,7.8881,K 56
49.2124,7.8883,B 10
49.2127,7.8886,B 10
49.213,7.8889,B 10
49.2132,7.8892,B 10
49.2135,7.8895,B 10
49.2138,7.8899,B 10
49.214,7.8903,B 10
49.2142,7.8908,B 10
49.2144,7.8912,B 10
49.2146,7.8916,B 10
49.2148,7.8921,B 10
49.2151,7.8927,B 10
49.2152,7.893,B 10
49.2154,7.8934,B 10
49.2156,7.8937,B 10
49.2158,7.894,B 10
49.2159,7.8943,B 10
49.2161,7.8946,B 10
49.2163,7.8949,B 10
49.2165,7.8952,B 10
49.2167,7.8955,B 10
49.217,7.8957,B 10
49.2172,7.896,B 10
49.2175,7.8964,B 10
49.2178,7.8967,B 10
49.218,7.897,B 10
49.2182,7.8973,B 10
49.2185,7.8976,B 10
49.2187,7.8979,B 10
49.219,7.8982,B 10
49.2192,7.8985,B 10
49.2195,7.8987,B 10
49.2197,7.899,B 10
49.22,7.8992,B 10
49.2202,7.8994,B 10
49.2206,7.8998,B 10
49.2208,7.9,B 10
49.2211,7.9003,B 10
49.2213,7.9005,B 10
49.2215,7.9008,B 10
49.2217,7.9011,B 10
49.2219,7.9015,B 10
49.2221,7.9018,B 10
49.2223,7.9022,B 10
49.2225,7.9025,B 10
49.2227,7.9028,B 10
49.2228,7.9032,B 10
49.223,7.9036,B 10
49.2232,7.9042,B 10
49.2233,7.9045,B 10
49.2235,7.9049,B 10
49.2236,7.9053,B 10
49.2237,7.9058,B 10
49.2238,7.9062,B 10
49.2239,7.9066,B 10
49.2239,7.907,B 10
49.224,7.9073,B 10
49.224,7.9076,B 10
49.224,7.9078,B 10
49.224,7.9079,B 10
49.224,7.908,B 10
49.3563,8.1084,Würzmühle
49.3564,8.1084,Würzmühle
49.3562,8.1085,Talstraße
49.3564,8.1085,Würzmühle
49.3562,8.1086,Talstraße
49.3564,8.1087,Würzmühle
49.3562,8.1089,Talstraße
49.3564,8.1089,Würzmühle
49.3564,8.1091,Würzmühle
49.3562,8.1092,Talstraße
49.3562,8.1093,Talstraße
49.3565,8.1093,Würzmühle
49.3566,8.1094,Würzmühle
49.3562,8.1095,Talstraße
49.3567,8.1095,Würzmühle
49.3567,8.1096,Würzmühle
49.3562,8.1097,Talstraße
49.3561,8.1098,Talstraße
49.3567,8.1098,Würzmühle
49.3566,8.1099,Würzmühle
49.3566,8.11,Würzmühle
49.3561,8.1101,Talstraße
49.3561,8.1102,Talstraße
49.3565,8.1102,Würzmühle
49.3561,8.1104,Talstraße
49.3564,8.1104,Würzmühle
49.3565,8.1104,Würzmühle
49.3561,8.1105,Talstraße
49.3564,8.1106,Würzmühle
49.3564,8.1107,Würzmühle
49.3561,8.1108,Talstraße
49.3565,8.1108,Würzmühle
49.3566,8.1109,Würzmühle
49.3567,8.111,Würzmühle
49.3568,8.111,Würzmühle
49.3568,8.1111,Würzmühle
49.3569,8.1111,Würzmühle
49.357,8.1111,Würzmühle
49.3571,8.1111,Würzmühle
49.3561,8.1112,Talstraße
49.3569,8.1112,Würzmühle
49.3571,8.1112,Würzmühle
49.3572,8.1112,Würzmühle
49.3572,8.1113,Würzmühle
49.3573,8.1113,Würzmühle
49.3573,8.1114,Würzmühle
49.3575,8.1114,Würzmühle
49.356,8.1115,Talstraße
49.3574,8.1115,Würzmühle
49.3576,8.1115,Würzmühle
49.3575,8.1116,Würzmühle
49.3576,8.1116,Würzmühle
49.3576,8.1117,Würzmühle
49.356,8.1118,Talstraße
49.3575,8.1118,Wolfsburgstraße
49.3576,8.1119,Wolfsburgstraße
49.3575,8.112,Wolfsburgstraße
49.3575,8.1121,Wolfsburgstraße
49.3559,8.1122,Talstraße
49.3574,8.1122,Wolfsburgstraße
49.3559,8.1123,Talstraße
49.3573,8.1123,Wolfsburgstraße
49.3574,8.1123,Wolfsburgstraße
49.3572,8.1125,Wolfsburgstraße
49.3573,8.1125,Wolfsburgstraße
49.3558,8.1126,Talstraße
49.3572,8.1127,Wolfsburgstraße
49.3571,8.1128,Wolfsburgstraße
49.3557,8.1129,Talstraße
49.3572,8.1129,Wolfsburgstraße
49.357,8.113,Wolfsburgstraße
49.3571,8.1131,Wolfsburgstraße
49.3556,8.1132,Talstraße
49.357,8.1132,Wolfsburgstraße
49.357,8.1133,Wolfsburgstraße
49.3562,8.1134,Talgrafenstraße
49.3563,8.1134,Talgrafenstraße
49.3555,8.1135,Talstraße
49.3561,8.1135,Talgrafenstraße
49.3564,8.1135,Talgrafenstraße
49.3566,8.1135,Talgrafenstraße
49.3567,8.1135,Talgrafenstraße
49.3569,8.1135,Wolfsburgstraße
49.357,8.1135,Wolfsburgstraße
49.3561,8.1136,Talgrafenstraße
49.3569,8.1136,Wolfsburgstraße
49.356,8.1137,Quellenstraße
