# Umweltkontrollsystem Log
# Start: 2025-07-12 17:29:15
SecSinceMidnight-MS;Temperature_DHT_C;Humidity_RH;Light_Level;Light_Percent;GPS_Lat;GPS_Lon;GPS_Alt;GPS_Speed;GPS_Course;GPS_Sats;MQ2;MQ3;MQ4;MQ5;MQ6;MQ7;MQ8;MQ9;MQ135;Mic1;Mic2;Radiation_CPS;DateTime;GPS_DateTime
62956-146;28.0;30.0;134;13.4;--;--;--;--;--;0;144;140;305;270;189;244;269;329;229;4;4;0;2025-07-12 19:29:16 MESZ;----/--/-- --:--:-- UTC
62958-209;28.0;30.0;135;13.2;--;--;--;--;--;0;143;140;303;266;187;236;265;326;226;6;5;0;2025-07-12 19:29:18 MESZ;----/--/-- --:--:-- UTC
62960-265;27.9;30.0;134;13.1;--;--;--;--;--;0;143;140;305;268;187;238;267;327;230;4;3;0;2025-07-12 19:29:20 MESZ;----/--/-- --:--:-- UTC
62962-337;27.9;30.0;136;13.4;--;--;--;--;--;0;143;140;302;266;186;237;264;323;225;4;4;0;2025-07-12 19:29:22 MESZ;----/--/-- --:--:-- UTC
62964-390;27.8;30.0;135;13.3;--;--;--;--;--;0;142;139;302;267;183;238;265;325;225;4;6;0;2025-07-12 19:29:24 MESZ;----/--/-- --:--:-- UTC
62966-470;27.8;30.0;135;13.2;--;--;--;--;--;0;141;138;299;265;184;236;265;324;225;6;4;0;2025-07-12 19:29:26 MESZ;----/--/-- --:--:-- UTC
62968-509;27.8;30.0;133;12.9;--;--;--;--;--;0;141;139;300;265;185;236;263;324;224;4;5;0;2025-07-12 19:29:28 MESZ;----/--/-- --:--:-- UTC
62970-558;27.8;30.0;134;13.1;--;--;--;--;--;0;146;142;303;268;187;239;265;324;228;5;4;0;2025-07-12 19:29:30 MESZ;----/--/-- --:--:-- UTC
62972-616;27.8;30.0;132;13.0;--;--;--;--;--;0;142;139;301;264;186;233;265;322;224;5;5;0;2025-07-12 19:29:32 MESZ;----/--/-- --:--:-- UTC
62974-687;27.8;30.0;134;13.1;--;--;--;--;--;0;145;142;305;270;188;239;267;326;229;7;5;0;2025-07-12 19:29:34 MESZ;----/--/-- --:--:-- UTC
62976-740;27.8;30.0;133;13.0;--;--;--;--;--;0;140;140;298;266;184;234;263;319;224;5;5;0;2025-07-12 19:29:36 MESZ;----/--/-- --:--:-- UTC
62978-821;27.8;30.0;133;12.9;--;--;--;--;--;0;141;140;302;266;185;234;265;321;225;5;5;0;2025-07-12 19:29:38 MESZ;----/--/-- --:--:-- UTC
62980-860;27.8;30.0;135;13.3;--;--;--;--;--;0;142;139;301;267;185;236;264;322;222;5;4;0;2025-07-12 19:29:40 MESZ;----/--/-- --:--:-- UTC
62982-908;27.8;30.0;136;13.4;--;--;--;--;--;0;138;137;297;261;182;233;260;317;220;4;4;0;2025-07-12 19:29:42 MESZ;----/--/-- --:--:-- UTC
62984-965;27.8;30.0;138;13.3;--;--;--;--;--;0;143;140;302;266;186;234;264;323;223;6;6;0;2025-07-12 19:29:44 MESZ;----/--/-- --:--:-- UTC
62986-037;27.8;30.0;136;13.3;--;--;--;--;--;0;141;139;298;262;183;236;262;320;221;4;5;0;2025-07-12 19:29:46 MESZ;----/--/-- --:--:-- UTC
62989-090;27.8;30.0;136;13.2;--;--;--;--;--;0;138;138;298;261;183;231;260;318;219;5;5;0;2025-07-12 19:29:49 MESZ;----/--/-- --:--:-- UTC
62991-169;27.8;30.0;133;13.1;--;--;--;--;--;0;141;137;298;262;184;234;260;320;220;5;6;0;2025-07-12 19:29:51 MESZ;----/--/-- --:--:-- UTC
62993-207;27.8;30.0;133;13.0;--;--;--;--;--;0;136;134;287;253;175;225;249;307;210;5;6;0;2025-07-12 19:29:53 MESZ;----/--/-- --:--:-- UTC
62995-258;27.8;30.0;132;13.0;--;--;--;--;--;0;135;133;291;257;176;229;255;311;215;4;4;0;2025-07-12 19:29:55 MESZ;----/--/-- --:--:-- UTC
