# Umweltkontrollsystem Log
# Start: 2025-07-13 12:17:44
# Ort Waldparkplatz
# ===== SENSOR-KONFIGURATION =====
# TEMPERATURSENSOR:
#   DHT11: Pin 22 (Digital) - Temp + Luftfeuchtigkeit, 0.5Hz [Temperature_DHT_C, Humidity_RH]
#   DS18B20: Pin 8 (OneWire) - 4.7K Pull-up zu 5V erforderlich
# GPS-MODUL:
#   RX: Pin 19, TX: Pin 18 (Serial1, 9600 Baud), 200Hz [GPS_Lat, GPS_Lon, GPS_Alt, GPS_Speed, GPS_Course, GPS_Sats, GPS_DateTime]
# GAS-SENSOREN (MQ-Serie, 0.5Hz):
#   MQ2 (Methan,Butan,LPG,Rauch): A0 [MQ2]
#   MQ3 (Alkohol,Ethanol): A1 [MQ3]
#   MQ4 (Methan,CNG): A2 [MQ4]
#   MQ5 (Erdgas,LPG): A3 [MQ5]
#   MQ6 (LPG,Butan): A4 [MQ6]
#   MQ7 (Kohlenmonoxid CO): A5 [MQ7]
#   MQ8 (Wasserstoff H2): A6 [MQ8]
#   MQ9 (CO,entflammbare Gase): A7 [MQ9]
#   MQ135 (Luftqualitaet CO2,NH3,NOx): A8 [MQ135]
# MIKROFONE (100kHz Burst):
#   Mikrofon Klein: A9, Mikrofon Gross: A10 [Mic1, Mic2]
# RADIOAKTIVITAET:
#   Geigerzaehler: Pin 29 (Digital), 200Hz Polling [Radiation_CPS]
# LICHTSENSOR:
#   LDR: Pin A11, 0.5Hz (0-1023 = Dunkel-Hell) [Light_Level, Light_Percent]
# ZEIT/TIMESTAMP:
#   Sekunden seit Mitternacht + Millisekunden [SecSinceMidnight-MS, DateTime]
# SD-KARTE:
#   CS: Pin 10, MOSI: 51, MISO: 50, SCK: 52 (SPI)
# RTC (Real-Time Clock):
#   SDA: Pin 20, SCL: Pin 21 (I2C)
# SYSTEM: Arduino Mega 2560, 5V Versorgung
# ABTASTRATEN: GPS/Radiation=200Hz, Sensoren=0.5Hz, Mikro=100kHz
# ===================================
SecSinceMidnight-MS,Temperature_DHT_C,Humidity_RH,Light_Level,Light_Percent,GPS_Lat,GPS_Lon,GPS_Alt,GPS_Speed,GPS_Course,GPS_Sats,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,Mic1,Mic2,Radiation_CPS,DateTime,GPS_DateTime
44281-432,35.6,12.0,34,97.0,49.3560,8.1778,132.6,5.0, 0,4,184,191,344,305,217,316,304,383,290,3,3,1,2025-07-13 14:18:01 MESZ,2025-07-13 12:18:04 UTC
44283-757,35.5,12.0,31,97.0,49.3560,8.1778,131.2,2.5,249,4,185,191,346,306,220,317,305,386,295,3,2,1,2025-07-13 14:18:03 MESZ,2025-07-13 12:18:06 UTC
44285-830,35.5,12.0,32,97.0,49.3560,8.1778,130.6,0.4, 0,4,188,190,347,307,220,318,305,389,297,4,3,1,2025-07-13 14:18:05 MESZ,2025-07-13 12:18:09 UTC
44287-867,35.4,12.0,31,96.9,49.3560,8.1778,131.0,0.5, 0,4,189,191,349,308,221,319,308,391,300,3,3,1,2025-07-13 14:18:07 MESZ,2025-07-13 12:18:11 UTC
44289-036,35.4,12.0,32,96.9,49.3560,8.1778,132.6,0.2, 0,4,191,191,347,308,222,318,307,391,301,3,2,1,2025-07-13 14:18:09 MESZ,2025-07-13 12:18:13 UTC
44291-953,35.3,13.0,31,96.9,49.3560,8.1778,133.1,0.1, 0,4,191,191,349,310,222,321,308,395,304,3,3,1,2025-07-13 14:18:11 MESZ,2025-07-13 12:18:15 UTC
44293-012,35.3,13.0,32,96.9,49.3560,8.1779,133.9,0.6, 0,4,193,192,350,310,222,320,308,395,305,2,2,1,2025-07-13 14:18:13 MESZ,2025-07-13 12:18:17 UTC
44296-369,35.2,13.0,31,97.0,49.3560,8.1779,134.3,0.3, 0,4,193,192,350,309,223,322,308,398,308,3,3,1,2025-07-13 14:18:16 MESZ,2025-07-13 12:18:19 UTC
44298-315,35.2,13.0,32,97.0,49.3560,8.1779,134.2,0.8, 0,4,196,193,352,312,224,324,310,399,310,4,2,1,2025-07-13 14:18:18 MESZ,2025-07-13 12:18:21 UTC
44300-398,35.1,13.0,30,97.1,49.3560,8.1779,134.2,1.1,90,4,195,193,350,309,223,324,308,397,309,3,3,1,2025-07-13 14:18:20 MESZ,2025-07-13 12:18:23 UTC
44302-494,35.1,13.0,31,97.2,49.3560,8.1779,134.4,1.6,90,4,196,193,351,311,224,325,309,399,311,3,3,1,2025-07-13 14:18:22 MESZ,2025-07-13 12:18:25 UTC
