# Umweltkontrollsystem Log
# Start: 2025-07-15 17:53:59
# ===== SENSOR-KONFIGURATION =====
# TEMPERATURSENSOR:
#   DHT11: Pin 22 (Digital) - Temp + Luftfeuchtigkeit, 0.5Hz [Temperature_DHT_C, Humidity_RH]
#   DS18B20: Pin 8 (OneWire) - 4.7K Pull-up zu 5V erforderlich
# GPS-MODUL:
#   RX: Pin 19, TX: Pin 18 (Serial1, 9600 Baud), 200Hz [GPS_Lat, GPS_Lon, GPS_Alt, GPS_Speed, GPS_Course, GPS_Sats, GPS_DateTime]
# GAS-SENSOREN (MQ-Serie, 0.5Hz):
#   MQ2 (Methan,Butan,LPG,Rauch): A0 [MQ2]
#   MQ3 (Alkohol,Ethanol): A1 [MQ3]
#   MQ4 (Methan,CNG): A2 [MQ4]
#   MQ5 (Erdgas,LPG): A3 [MQ5]
#   MQ6 (LPG,Butan): A4 [MQ6]
#   MQ7 (Kohlenmonoxid CO): A5 [MQ7]
#   MQ8 (Wasserstoff H2): A6 [MQ8]
#   MQ9 (CO,entflammbare Gase): A7 [MQ9]
#   MQ135 (Luftqualitaet CO2,NH3,NOx): A8 [MQ135]
# MIKROFONE (100kHz Burst):
#   Mikrofon Klein: A9, Mikrofon Gross: A10 [Mic1, Mic2]
# RADIOAKTIVITAET:
#   Geigerzaehler: Pin 29 (Digital), 200Hz Polling [Radiation_CPS]
# LICHTSENSOR:
#   LDR: Pin A11, 0.5Hz (0-1023 = Dunkel-Hell) [Light_Level, Light_Percent]
# ZEIT/TIMESTAMP:
#   Sekunden seit Mitternacht + Millisekunden [SecSinceMidnight-MS, DateTime]
# SD-KARTE:
#   CS: Pin 10, MOSI: 51, MISO: 50, SCK: 52 (SPI)
# RTC (Real-Time Clock):
#   SDA: Pin 20, SCL: Pin 21 (I2C)
# SYSTEM: Arduino Mega 2560, 5V Versorgung
# ABTASTRATEN: GPS/Radiation=200Hz, Sensoren=0.5Hz, Mikro=100kHz
# ===================================
SecSinceMidnight-MS,Temperature_DHT_C,Humidity_RH,Light_Level,Light_Percent,GPS_Lat,GPS_Lon,GPS_Alt,GPS_Speed,GPS_Course,GPS_Sats,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,Mic1,Mic2,Radiation_CPS,DateTime,GPS_DateTime
64439-959,0.0,0.0,36,96.6,--,--,--,--,--,0,61,147,258,217,134,222,205,128,78,3,2,0,2025-07-15 19:53:59 MESZ,----/--/-- --:--:-- UTC
64442-877,25.0,37.0,36,96.5,--,--,--,--,--,0,61,148,260,219,136,227,207,136,83,2,2,0,2025-07-15 19:54:02 MESZ,----/--/-- --:--:-- UTC
64444-955,24.9,37.0,35,96.6,--,--,--,--,--,0,66,150,263,222,139,233,211,147,89,2,2,0,2025-07-15 19:54:04 MESZ,----/--/-- --:--:-- UTC
64446-178,24.9,37.0,35,96.5,--,--,--,--,--,0,67,152,265,225,142,239,214,156,94,3,3,0,2025-07-15 19:54:06 MESZ,----/--/-- --:--:-- UTC
64448-181,24.9,37.0,35,96.7,--,--,--,--,--,0,71,153,267,227,145,244,218,164,99,2,3,0,2025-07-15 19:54:08 MESZ,----/--/-- --:--:-- UTC
64450-262,24.8,37.0,34,96.6,--,--,--,--,--,0,72,154,269,229,146,249,219,170,102,2,2,0,2025-07-15 19:54:10 MESZ,----/--/-- --:--:-- UTC
64452-353,24.8,37.0,35,96.6,--,--,--,--,--,0,75,155,270,231,147,252,221,176,106,3,3,0,2025-07-15 19:54:12 MESZ,----/--/-- --:--:-- UTC
64454-350,24.8,37.0,36,96.6,--,--,--,--,--,0,76,156,273,233,149,255,223,182,109,3,2,0,2025-07-15 19:54:14 MESZ,----/--/-- --:--:-- UTC
64456-408,24.8,37.0,35,96.5,--,--,--,--,--,0,78,157,274,234,150,259,224,187,113,2,2,1,2025-07-15 19:54:16 MESZ,----/--/-- --:--:-- UTC
64458-738,24.7,37.0,35,96.6,--,--,--,--,--,0,79,157,276,235,152,262,226,192,115,3,3,0,2025-07-15 19:54:18 MESZ,----/--/-- --:--:-- UTC
64460-696,24.7,37.0,36,96.4,--,--,--,--,--,0,80,158,276,237,152,263,227,195,117,3,2,0,2025-07-15 19:54:20 MESZ,----/--/-- --:--:-- UTC
64462-766,24.7,37.0,36,96.5,--,--,--,--,--,0,82,158,277,236,154,265,228,200,120,3,3,0,2025-07-15 19:54:22 MESZ,----/--/-- --:--:-- UTC
64469-830,24.7,37.0,37,96.5,--,--,--,--,--,0,82,158,278,237,155,267,228,203,120,3,2,0,2025-07-15 19:54:29 MESZ,----/--/-- --:--:-- UTC
