# Umweltkontrollsystem Log
# Start: 2025-07-15 05:47:45
# ===== SENSOR-KONFIGURATION =====
# TEMPERATURSENSOR:
#   DHT11: Pin 22 (Digital) - Temp + Luftfeuchtigkeit, 0.5Hz [Temperature_DHT_C, Humidity_RH]
#   DS18B20: Pin 8 (OneWire) - 4.7K Pull-up zu 5V erforderlich
# GPS-MODUL:
#   RX: Pin 19, TX: Pin 18 (Serial1, 9600 Baud), 200Hz [GPS_Lat, GPS_Lon, GPS_Alt, GPS_Speed, GPS_Course, GPS_Sats, GPS_DateTime]
# GAS-SENSOREN (MQ-Serie, 0.5Hz):
#   MQ2 (Methan,Butan,LPG,Rauch): A0 [MQ2]
#   MQ3 (Alkohol,Ethanol): A1 [MQ3]
#   MQ4 (Methan,CNG): A2 [MQ4]
#   MQ5 (Erdgas,LPG): A3 [MQ5]
#   MQ6 (LPG,Butan): A4 [MQ6]
#   MQ7 (Kohlenmonoxid CO): A5 [MQ7]
#   MQ8 (Wasserstoff H2): A6 [MQ8]
#   MQ9 (CO,entflammbare Gase): A7 [MQ9]
#   MQ135 (Luftqualitaet CO2,NH3,NOx): A8 [MQ135]
# MIKROFONE (100kHz Burst):
#   Mikrofon Klein: A9, Mikrofon Gross: A10 [Mic1, Mic2]
# RADIOAKTIVITAET:
#   Geigerzaehler: Pin 29 (Digital), 200Hz Polling [Radiation_CPS]
# LICHTSENSOR:
#   LDR: Pin A11, 0.5Hz (0-1023 = Dunkel-Hell) [Light_Level, Light_Percent]
# ZEIT/TIMESTAMP:
#   Sekunden seit Mitternacht + Millisekunden [SecSinceMidnight-MS, DateTime]
# SD-KARTE:
#   CS: Pin 10, MOSI: 51, MISO: 50, SCK: 52 (SPI)
# RTC (Real-Time Clock):
#   SDA: Pin 20, SCL: Pin 21 (I2C)
# SYSTEM: Arduino Mega 2560, 5V Versorgung
# ABTASTRATEN: GPS/Radiation=200Hz, Sensoren=0.5Hz, Mikro=100kHz
# ===================================
SecSinceMidnight-MS,Temperature_DHT_C,Humidity_RH,Light_Level,Light_Percent,GPS_Lat,GPS_Lon,GPS_Alt,GPS_Speed,GPS_Course,GPS_Sats,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,Mic1,Mic2,Radiation_CPS,DateTime,GPS_DateTime
20866-941,0.0,0.0,57,94.3,--,--,--,--,--,0,180,221,380,331,238,359,325,391,313,75,78,0,2025-07-15 07:47:46 MESZ,----/--/-- --:--:-- UTC
20868-860,26.7,49.0,57,94.4,--,--,--,--,--,0,117,159,321,272,179,305,265,336,256,77,80,0,2025-07-15 07:47:48 MESZ,----/--/-- --:--:-- UTC
20870-940,26.7,49.0,58,94.4,--,--,--,--,--,0,122,156,318,272,182,305,267,334,260,75,73,0,2025-07-15 07:47:50 MESZ,----/--/-- --:--:-- UTC
20872-371,26.7,49.0,56,94.4,--,--,--,--,--,0,180,217,380,328,238,360,321,397,318,78,92,0,2025-07-15 07:47:52 MESZ,----/--/-- --:--:-- UTC
20874-240,26.7,49.0,57,94.4,--,--,--,--,--,0,151,193,357,309,212,348,325,385,310,75,75,0,2025-07-15 07:47:54 MESZ,----/--/-- --:--:-- UTC
20876-274,26.7,49.0,57,94.4,--,--,--,--,--,0,124,162,326,274,184,312,273,340,270,76,93,0,2025-07-15 07:47:56 MESZ,----/--/-- --:--:-- UTC
20878-336,26.7,48.0,57,94.5,--,--,--,--,--,0,191,223,387,335,242,373,326,398,326,75,83,0,2025-07-15 07:47:58 MESZ,----/--/-- --:--:-- UTC
20880-335,26.7,48.0,58,94.5,--,--,--,--,--,0,119,150,314,264,190,300,260,334,257,77,78,0,2025-07-15 07:48:00 MESZ,----/--/-- --:--:-- UTC
20882-394,26.7,48.0,57,94.3,--,--,--,--,--,0,119,153,323,269,179,305,269,336,260,88,88,0,2025-07-15 07:48:02 MESZ,----/--/-- --:--:-- UTC
20885-615,26.7,48.0,58,94.4,--,--,--,--,--,0,115,149,320,269,178,303,263,333,260,85,72,0,2025-07-15 07:48:05 MESZ,----/--/-- --:--:-- UTC
20887-620,26.7,48.0,56,94.5,--,--,--,--,--,0,182,215,375,328,238,363,320,395,317,83,79,0,2025-07-15 07:48:07 MESZ,----/--/-- --:--:-- UTC
20889-696,26.7,48.0,56,94.3,--,--,--,--,--,0,182,219,383,330,237,369,324,400,325,92,80,1,2025-07-15 07:48:09 MESZ,----/--/-- --:--:-- UTC
20891-792,26.7,48.0,57,94.4,--,--,--,--,--,0,180,218,386,336,243,376,335,405,333,83,72,0,2025-07-15 07:48:11 MESZ,----/--/-- --:--:-- UTC
