# Umweltkontrollsystem Log
# Start: 2025-07-15 16:54:39
# ===== SENSOR-KONFIGURATION =====
# TEMPERATURSENSOR:
#   DHT11: Pin 22 (Digital) - Temp + Luftfeuchtigkeit, 0.5Hz [Temperature_DHT_C, Humidity_RH]
#   DS18B20: Pin 8 (OneWire) - 4.7K Pull-up zu 5V erforderlich
# GPS-MODUL:
#   RX: Pin 19, TX: Pin 18 (Serial1, 9600 Baud), 200Hz [GPS_Lat, GPS_Lon, GPS_Alt, GPS_Speed, GPS_Course, GPS_Sats, GPS_DateTime]
# GAS-SENSOREN (MQ-Serie, 0.5Hz):
#   MQ2 (Methan,Butan,LPG,Rauch): A0 [MQ2]
#   MQ3 (Alkohol,Ethanol): A1 [MQ3]
#   MQ4 (Methan,CNG): A2 [MQ4]
#   MQ5 (Erdgas,LPG): A3 [MQ5]
#   MQ6 (LPG,Butan): A4 [MQ6]
#   MQ7 (Kohlenmonoxid CO): A5 [MQ7]
#   MQ8 (Wasserstoff H2): A6 [MQ8]
#   MQ9 (CO,entflammbare Gase): A7 [MQ9]
#   MQ135 (Luftqualitaet CO2,NH3,NOx): A8 [MQ135]
# MIKROFONE (100kHz Burst):
#   Mikrofon Klein: A9, Mikrofon Gross: A10 [Mic1, Mic2]
# RADIOAKTIVITAET:
#   Geigerzaehler: Pin 29 (Digital), 200Hz Polling [Radiation_CPS]
# LICHTSENSOR:
#   LDR: Pin A11, 0.5Hz (0-1023 = Dunkel-Hell) [Light_Level, Light_Percent]
# ZEIT/TIMESTAMP:
#   Sekunden seit Mitternacht + Millisekunden [SecSinceMidnight-MS, DateTime]
# SD-KARTE:
#   CS: Pin 10, MOSI: 51, MISO: 50, SCK: 52 (SPI)
# RTC (Real-Time Clock):
#   SDA: Pin 20, SCL: Pin 21 (I2C)
# SYSTEM: Arduino Mega 2560, 5V Versorgung
# ABTASTRATEN: GPS/Radiation=200Hz, Sensoren=0.5Hz, Mikro=100kHz
# ===================================
SecSinceMidnight-MS,Temperature_DHT_C,Humidity_RH,Light_Level,Light_Percent,GPS_Lat,GPS_Lon,GPS_Alt,GPS_Speed,GPS_Course,GPS_Sats,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,Mic1,Mic2,Radiation_CPS,DateTime,GPS_DateTime
60880-533,0.0,0.0,25,97.6,--,--,--,--,--,0,95,161,284,242,161,300,234,250,161,5,3,0,2025-07-15 18:54:40 MESZ,----/--/-- --:--:-- UTC
60882-451,20.2,48.0,25,97.4,49.2703,7.8265,603.1,0.2, 0,10,94,160,286,241,160,300,234,250,161,5,4,0,2025-07-15 18:54:42 MESZ,2025-07-15 16:54:42 UTC
60884-529,20.2,48.0,26,97.6,49.2703,7.8265,602.9,0.1, 0,10,94,161,282,242,160,299,232,249,159,5,4,0,2025-07-15 18:54:44 MESZ,2025-07-15 16:54:44 UTC
60886-754,20.2,48.0,25,97.5,49.2703,7.8265,602.7,0.1, 0,9,96,161,286,243,160,300,234,250,160,6,3,0,2025-07-15 18:54:46 MESZ,2025-07-15 16:54:46 UTC
60888-751,20.2,48.0,25,97.7,49.2703,7.8265,602.3,0.1, 0,9,96,161,286,240,161,300,236,250,160,5,4,0,2025-07-15 18:54:48 MESZ,2025-07-15 16:54:48 UTC
60890-833,20.2,49.0,25,97.6,49.2703,7.8265,602.0,0.1, 0,10,96,160,286,242,161,300,233,248,160,5,4,0,2025-07-15 18:54:50 MESZ,2025-07-15 16:54:50 UTC
60892-928,20.2,49.0,25,97.7,49.2703,7.8265,602.1,0.1, 0,10,96,161,284,242,163,300,234,249,161,5,5,0,2025-07-15 18:54:52 MESZ,2025-07-15 16:54:52 UTC
60894-998,20.2,49.0,26,97.6,49.2703,7.8265,602.4,0.1, 0,10,96,160,286,242,161,299,232,250,160,5,4,0,2025-07-15 18:54:54 MESZ,2025-07-15 16:54:55 UTC
60896-981,20.2,49.0,26,97.6,49.2703,7.8265,602.4,0.0, 0,10,97,160,284,240,160,300,233,251,160,6,5,0,2025-07-15 18:54:56 MESZ,2025-07-15 16:54:57 UTC
60899-259,20.2,49.0,26,97.6,49.2703,7.8265,602.4,0.3, 0,10,96,159,283,240,160,301,234,251,161,6,4,0,2025-07-15 18:54:59 MESZ,2025-07-15 16:54:59 UTC
60901-225,20.2,49.0,25,97.5,49.2703,7.8265,602.7,0.1, 0,10,99,161,287,243,162,299,235,250,159,5,5,0,2025-07-15 18:55:01 MESZ,2025-07-15 16:55:01 UTC
60903-310,20.2,49.0,26,97.6,49.2703,7.8265,602.7,0.1, 0,10,97,159,285,242,160,302,232,252,162,4,6,0,2025-07-15 18:55:03 MESZ,2025-07-15 16:55:03 UTC
60904-429,20.2,49.0,24,97.6,49.2703,7.8265,602.5,0.1, 0,10,97,159,286,241,161,298,236,251,159,6,6,0,2025-07-15 18:55:04 MESZ,2025-07-15 16:55:05 UTC
60906-373,20.2,49.0,24,97.6,49.2703,7.8265,602.2,0.1, 0,10,97,159,285,241,162,299,237,251,162,6,6,0,2025-07-15 18:55:06 MESZ,2025-07-15 16:55:07 UTC
60908-430,20.3,49.0,25,97.6,49.2703,7.8265,601.7,0.0, 0,10,96,159,284,241,161,300,232,248,161,7,4,1,2025-07-15 18:55:08 MESZ,2025-07-15 16:55:09 UTC
60910-657,20.3,49.0,25,97.6,49.2703,7.8265,601.4,0.1, 0,10,97,159,286,241,161,300,232,250,162,4,5,0,2025-07-15 18:55:10 MESZ,2025-07-15 16:55:11 UTC
60912-652,20.3,48.0,25,97.6,49.2703,7.8265,601.2,0.1, 0,10,97,158,287,241,161,299,234,248,161,5,6,0,2025-07-15 18:55:12 MESZ,2025-07-15 16:55:13 UTC
60914-732,20.3,48.0,25,97.5,49.2703,7.8265,601.2,0.0, 0,10,97,159,286,242,161,300,234,250,158,4,3,0,2025-07-15 18:55:14 MESZ,2025-07-15 16:55:15 UTC
60916-831,20.3,48.0,28,97.6,49.2703,7.8265,600.9,0.0, 0,10,97,162,285,242,164,300,234,251,161,6,5,0,2025-07-15 18:55:16 MESZ,2025-07-15 16:55:17 UTC
60918-845,20.3,48.0,25,97.6,49.2703,7.8265,600.4,0.1, 0,10,96,159,284,242,161,299,234,250,161,5,3,0,2025-07-15 18:55:18 MESZ,2025-07-15 16:55:20 UTC
60920-953,20.3,48.0,24,97.5,49.2703,7.8265,600.2,0.0, 0,9,93,159,285,240,160,300,231,250,161,5,5,0,2025-07-15 18:55:20 MESZ,2025-07-15 16:55:22 UTC
60922-159,20.3,48.0,25,97.8,49.2703,7.8265,600.2,0.0, 0,9,95,159,284,241,161,299,232,248,161,5,4,0,2025-07-15 18:55:22 MESZ,2025-07-15 16:55:24 UTC
60924-126,20.3,48.0,26,97.7,49.2703,7.8265,600.2,0.0, 0,10,95,158,285,238,162,300,233,249,158,6,5,0,2025-07-15 18:55:24 MESZ,2025-07-15 16:55:26 UTC
60927-211,20.3,48.0,26,97.6,49.2703,7.8265,600.3,0.1, 0,9,95,159,284,242,160,299,233,249,156,7,4,0,2025-07-15 18:55:27 MESZ,2025-07-15 16:55:28 UTC
60929-383,20.3,48.0,26,97.6,49.2703,7.8265,600.3,0.0, 0,9,95,159,285,241,160,301,233,248,158,5,5,0,2025-07-15 18:55:29 MESZ,2025-07-15 16:55:30 UTC
60931-294,20.3,48.0,26,97.6,49.2703,7.8265,600.3,0.1, 0,9,94,160,283,238,159,299,231,244,158,5,7,0,2025-07-15 18:55:31 MESZ,2025-07-15 16:55:32 UTC
60934-331,20.3,48.0,26,97.5,49.2703,7.8265,600.4,0.1, 0,9,94,159,283,238,158,299,232,245,157,4,5,0,2025-07-15 18:55:34 MESZ,2025-07-15 16:55:34 UTC
60936-559,20.3,48.0,26,97.6,49.2703,7.8265,600.6,0.1, 0,10,94,160,284,237,159,300,231,247,157,4,5,0,2025-07-15 18:55:36 MESZ,2025-07-15 16:55:36 UTC
60938-552,20.3,48.0,27,97.5,49.2703,7.8265,601.2,0.1, 0,9,95,161,284,239,160,298,232,248,158,4,3,0,2025-07-15 18:55:38 MESZ,2025-07-15 16:55:38 UTC
60940-631,20.3,48.0,26,97.6,49.2703,7.8265,601.6,0.1, 0,10,94,159,286,240,161,297,230,248,159,5,6,1,2025-07-15 18:55:40 MESZ,2025-07-15 16:55:40 UTC
60942-728,20.3,48.0,24,97.6,49.2703,7.8265,602.1,0.1, 0,10,95,159,286,241,160,300,233,248,159,4,4,0,2025-07-15 18:55:42 MESZ,2025-07-15 16:55:42 UTC
60944-723,20.3,48.0,25,97.6,49.2703,7.8265,602.6,0.0, 0,10,96,160,284,239,165,299,234,247,159,5,5,0,2025-07-15 18:55:44 MESZ,2025-07-15 16:55:44 UTC
60946-802,20.3,48.0,26,97.5,49.2703,7.8265,603.0,0.0, 0,10,96,159,286,241,159,300,233,250,159,6,5,0,2025-07-15 18:55:46 MESZ,2025-07-15 16:55:47 UTC
60948-060,20.3,48.0,26,97.5,49.2703,7.8265,603.6,0.0, 0,9,95,158,285,242,160,300,235,249,161,5,5,0,2025-07-15 18:55:48 MESZ,2025-07-15 16:55:49 UTC
60950-027,20.4,48.0,26,97.6,49.2703,7.8265,604.4,0.0, 0,9,95,159,285,240,161,299,232,248,160,6,6,0,2025-07-15 18:55:50 MESZ,2025-07-15 16:55:51 UTC
60952-114,20.4,48.0,25,97.5,49.2703,7.8265,605.0,0.1, 0,9,96,159,285,240,162,301,234,250,159,5,5,0,2025-07-15 18:55:52 MESZ,2025-07-15 16:55:53 UTC
60955-232,20.4,48.0,27,97.4,49.2703,7.8265,605.3,0.1, 0,10,93,159,282,241,161,297,233,250,159,5,4,0,2025-07-15 18:55:55 MESZ,2025-07-15 16:55:55 UTC
60957-194,20.4,48.0,25,97.6,49.2703,7.8265,605.6,0.2, 0,9,94,159,282,241,161,300,233,250,159,5,5,0,2025-07-15 18:55:57 MESZ,2025-07-15 16:55:57 UTC
60959-231,20.4,47.0,26,97.5,49.2703,7.8265,606.0,0.0, 0,9,95,161,285,240,160,300,232,246,162,5,3,0,2025-07-15 18:55:59 MESZ,2025-07-15 16:55:59 UTC
60961-457,20.4,47.0,27,97.4,49.2703,7.8265,606.4,0.2, 0,10,96,156,285,240,159,298,234,248,159,5,5,0,2025-07-15 18:56:01 MESZ,2025-07-15 16:56:01 UTC
60963-454,20.4,47.0,26,97.5,49.2703,7.8265,606.8,0.0, 0,10,96,160,285,242,161,299,231,248,159,6,3,0,2025-07-15 18:56:03 MESZ,2025-07-15 16:56:03 UTC
60965-531,20.4,47.0,26,97.6,49.2703,7.8265,607.2,0.1, 0,10,95,160,284,240,160,300,232,248,160,8,5,0,2025-07-15 18:56:05 MESZ,2025-07-15 16:56:05 UTC
60967-630,20.4,47.0,26,97.5,49.2703,7.8265,607.4,0.1, 0,10,97,160,285,241,161,300,232,249,159,4,5,0,2025-07-15 18:56:07 MESZ,2025-07-15 16:56:07 UTC
60969-623,20.4,47.0,27,97.4,49.2703,7.8265,607.5,0.2, 0,10,96,160,285,241,160,299,232,249,160,6,6,0,2025-07-15 18:56:09 MESZ,2025-07-15 16:56:09 UTC
60971-684,20.4,47.0,25,97.6,49.2703,7.8265,607.5,0.1, 0,10,96,162,286,242,161,300,232,249,160,4,6,0,2025-07-15 18:56:11 MESZ,2025-07-15 16:56:11 UTC
60973-016,20.4,47.0,25,97.5,49.2703,7.8265,607.4,0.1, 0,9,95,160,285,241,160,301,233,251,159,5,5,0,2025-07-15 18:56:13 MESZ,2025-07-15 16:56:14 UTC
60975-929,20.4,47.0,25,97.5,49.2703,7.8265,607.1,0.0, 0,10,96,160,285,240,162,300,234,250,158,4,4,0,2025-07-15 18:56:15 MESZ,2025-07-15 16:56:16 UTC
60977-015,20.4,47.0,29,97.0,49.2703,7.8265,607.0,0.5, 0,10,95,158,285,245,162,301,235,250,162,4,4,0,2025-07-15 18:56:17 MESZ,2025-07-15 16:56:18 UTC
60979-135,20.4,48.0,28,97.2,49.2703,7.8265,606.7,0.0, 0,10,97,159,285,241,161,300,234,250,162,4,5,0,2025-07-15 18:56:19 MESZ,2025-07-15 16:56:20 UTC
60981-097,20.4,48.0,26,97.4,49.2703,7.8265,606.5,0.1, 0,10,97,160,285,242,162,299,233,249,161,4,5,1,2025-07-15 18:56:21 MESZ,2025-07-15 16:56:22 UTC
60983-153,20.4,48.0,25,97.5,49.2703,7.8265,606.4,0.0, 0,10,96,160,285,241,161,301,234,251,160,5,4,0,2025-07-15 18:56:23 MESZ,2025-07-15 16:56:24 UTC
60985-360,20.4,48.0,27,97.6,49.2703,7.8265,606.3,0.2, 0,10,96,160,285,242,161,299,234,251,161,3,5,0,2025-07-15 18:56:25 MESZ,2025-07-15 16:56:26 UTC
60988-355,20.5,48.0,27,97.6,49.2703,7.8265,606.3,0.1, 0,10,97,160,285,241,163,302,234,250,161,5,5,0,2025-07-15 18:56:28 MESZ,2025-07-15 16:56:28 UTC
60990-431,20.5,48.0,27,97.4,49.2703,7.8265,606.4,0.0, 0,10,96,161,284,240,162,301,234,251,161,4,3,0,2025-07-15 18:56:30 MESZ,2025-07-15 16:56:30 UTC
60992-532,20.5,48.0,26,97.4,49.2703,7.8265,606.5,0.0, 0,10,96,161,287,241,161,301,236,250,160,5,5,0,2025-07-15 18:56:32 MESZ,2025-07-15 16:56:32 UTC
60994-523,20.5,48.0,25,97.6,49.2703,7.8265,606.6,0.0, 0,10,96,159,286,241,159,302,233,250,162,4,3,0,2025-07-15 18:56:34 MESZ,2025-07-15 16:56:34 UTC
60996-580,20.5,48.0,26,97.5,49.2703,7.8265,606.8,0.1, 0,10,96,161,286,242,160,302,235,251,162,5,5,0,2025-07-15 18:56:36 MESZ,2025-07-15 16:56:36 UTC
60998-809,20.5,48.0,26,97.5,49.2703,7.8265,606.7,0.0, 0,10,98,161,287,243,161,302,233,250,161,5,4,0,2025-07-15 18:56:38 MESZ,2025-07-15 16:56:38 UTC
61000-825,20.5,48.0,25,97.5,49.2703,7.8265,606.7,0.0, 0,9,96,160,288,242,162,302,234,249,162,5,5,0,2025-07-15 18:56:40 MESZ,2025-07-15 16:56:41 UTC
61002-913,20.5,48.0,25,97.4,49.2703,7.8265,606.9,0.0, 0,9,97,161,287,244,163,301,236,253,162,5,6,0,2025-07-15 18:56:42 MESZ,2025-07-15 16:56:43 UTC
61004-032,20.5,48.0,27,97.4,49.2703,7.8265,606.9,0.0, 0,9,97,160,287,243,163,302,236,252,162,4,6,0,2025-07-15 18:56:44 MESZ,2025-07-15 16:56:45 UTC
61006-995,20.5,47.0,26,97.6,49.2703,7.8265,607.1,0.1, 0,9,97,160,286,244,162,302,236,252,163,5,3,0,2025-07-15 18:56:46 MESZ,2025-07-15 16:56:47 UTC
61008-052,20.6,47.0,27,97.5,49.2703,7.8265,607.1,0.0, 0,10,97,161,286,243,160,302,233,253,163,4,5,0,2025-07-15 18:56:48 MESZ,2025-07-15 16:56:49 UTC
61010-311,20.6,47.0,27,97.5,49.2703,7.8265,607.0,0.1, 0,10,97,160,287,243,162,304,235,251,162,5,4,0,2025-07-15 18:56:50 MESZ,2025-07-15 16:56:51 UTC
61012-253,20.6,47.0,27,97.5,49.2703,7.8265,606.7,0.0, 0,9,98,160,286,241,163,302,233,250,163,6,4,0,2025-07-15 18:56:52 MESZ,2025-07-15 16:56:53 UTC
61015-331,20.6,47.0,27,97.4,49.2703,7.8265,606.3,0.0, 0,8,97,160,286,242,157,302,234,249,164,6,6,0,2025-07-15 18:56:55 MESZ,2025-07-15 16:56:55 UTC
61017-430,20.6,47.0,26,97.5,49.2703,7.8265,605.8,0.1, 0,9,96,159,286,241,160,303,234,250,162,4,4,0,2025-07-15 18:56:57 MESZ,2025-07-15 16:56:57 UTC
61019-422,20.6,47.0,26,97.5,49.2703,7.8265,605.2,0.0, 0,9,96,160,286,238,160,303,234,250,163,6,5,0,2025-07-15 18:56:59 MESZ,2025-07-15 16:56:59 UTC
61021-479,20.6,47.0,25,97.5,49.2703,7.8265,604.8,0.1, 0,8,96,160,285,242,161,302,240,250,162,6,4,0,2025-07-15 18:57:01 MESZ,2025-07-15 16:57:01 UTC
61023-707,20.7,47.0,27,97.4,49.2703,7.8265,604.4,0.0, 0,8,101,159,286,243,161,300,235,249,160,7,4,0,2025-07-15 18:57:03 MESZ,2025-07-15 16:57:03 UTC
61024-725,20.7,47.0,26,97.5,49.2703,7.8265,604.0,0.0, 0,8,96,160,286,240,161,302,234,251,162,6,6,0,2025-07-15 18:57:04 MESZ,2025-07-15 16:57:06 UTC
61026-811,20.7,47.0,25,97.5,49.2703,7.8265,603.8,0.1, 0,10,97,160,289,243,162,302,235,250,162,4,4,0,2025-07-15 18:57:06 MESZ,2025-07-15 16:57:08 UTC
61028-929,20.7,47.0,26,97.4,49.2703,7.8265,603.8,0.0, 0,9,96,160,286,241,162,301,232,252,161,5,4,0,2025-07-15 18:57:08 MESZ,2025-07-15 16:57:10 UTC
61030-893,20.7,47.0,26,97.5,49.2703,7.8265,604.0,0.0, 0,9,96,160,285,242,162,300,234,252,161,5,6,0,2025-07-15 18:57:10 MESZ,2025-07-15 16:57:12 UTC
61032-950,20.7,47.0,26,97.5,49.2703,7.8265,604.4,0.0, 0,9,95,159,286,242,161,300,235,252,162,4,5,0,2025-07-15 18:57:12 MESZ,2025-07-15 16:57:14 UTC
61034-262,20.7,47.0,27,97.3,49.2703,7.8265,604.6,0.1, 0,9,96,157,286,241,160,300,234,252,161,4,3,1,2025-07-15 18:57:14 MESZ,2025-07-15 16:57:16 UTC
61036-153,20.7,47.0,27,97.5,49.2703,7.8265,605.0,0.0, 0,9,94,160,288,242,160,300,234,250,162,5,4,0,2025-07-15 18:57:16 MESZ,2025-07-15 16:57:18 UTC
61038-232,20.8,47.0,26,97.5,49.2703,7.8265,605.3,0.0, 0,9,96,158,287,242,161,300,233,251,162,4,6,0,2025-07-15 18:57:18 MESZ,2025-07-15 16:57:20 UTC
61040-331,20.7,47.0,27,97.3,49.2703,7.8265,605.6,0.0, 0,9,96,159,287,241,159,299,235,248,161,6,5,0,2025-07-15 18:57:20 MESZ,2025-07-15 16:57:22 UTC
