# Umweltkontrollsystem Log
# Start: 2025-07-15 17:24:55
# ===== SENSOR-KONFIGURATION =====
# TEMPERATURSENSOR:
#   DHT11: Pin 22 (Digital) - Temp + Luftfeuchtigkeit, 0.5Hz [Temperature_DHT_C, Humidity_RH]
#   DS18B20: Pin 8 (OneWire) - 4.7K Pull-up zu 5V erforderlich
# GPS-MODUL:
#   RX: Pin 19, TX: Pin 18 (Serial1, 9600 Baud), 200Hz [GPS_Lat, GPS_Lon, GPS_Alt, GPS_Speed, GPS_Course, GPS_Sats, GPS_DateTime]
# GAS-SENSOREN (MQ-Serie, 0.5Hz):
#   MQ2 (Methan,Butan,LPG,Rauch): A0 [MQ2]
#   MQ3 (Alkohol,Ethanol): A1 [MQ3]
#   MQ4 (Methan,CNG): A2 [MQ4]
#   MQ5 (Erdgas,LPG): A3 [MQ5]
#   MQ6 (LPG,Butan): A4 [MQ6]
#   MQ7 (Kohlenmonoxid CO): A5 [MQ7]
#   MQ8 (Wasserstoff H2): A6 [MQ8]
#   MQ9 (CO,entflammbare Gase): A7 [MQ9]
#   MQ135 (Luftqualitaet CO2,NH3,NOx): A8 [MQ135]
# MIKROFONE (100kHz Burst):
#   Mikrofon Klein: A9, Mikrofon Gross: A10 [Mic1, Mic2]
# RADIOAKTIVITAET:
#   Geigerzaehler: Pin 29 (Digital), 200Hz Polling [Radiation_CPS]
# LICHTSENSOR:
#   LDR: Pin A11, 0.5Hz (0-1023 = Dunkel-Hell) [Light_Level, Light_Percent]
# ZEIT/TIMESTAMP:
#   Sekunden seit Mitternacht + Millisekunden [SecSinceMidnight-MS, DateTime]
# SD-KARTE:
#   CS: Pin 10, MOSI: 51, MISO: 50, SCK: 52 (SPI)
# RTC (Real-Time Clock):
#   SDA: Pin 20, SCL: Pin 21 (I2C)
# SYSTEM: Arduino Mega 2560, 5V Versorgung
# ABTASTRATEN: GPS/Radiation=200Hz, Sensoren=0.5Hz, Mikro=100kHz
# ===================================
SecSinceMidnight-MS,Temperature_DHT_C,Humidity_RH,Light_Level,Light_Percent,GPS_Lat,GPS_Lon,GPS_Alt,GPS_Speed,GPS_Course,GPS_Sats,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,Mic1,Mic2,Radiation_CPS,DateTime,GPS_DateTime
62695-538,0.0,0.0,39,96.2,--,--,--,--,--,0,93,157,281,239,159,296,230,237,156,3,2,0,2025-07-15 19:24:55 MESZ,----/--/-- --:--:-- UTC
62697-499,19.4,52.0,38,96.2,49.2703,7.8265,599.3,0.0, 0,10,93,155,283,240,160,296,232,240,158,3,2,0,2025-07-15 19:24:57 MESZ,2025-07-15 17:24:59 UTC
62699-555,19.4,52.0,39,96.2,49.2703,7.8265,599.6,0.1, 0,10,91,157,283,239,159,296,231,237,157,2,3,0,2025-07-15 19:24:59 MESZ,2025-07-15 17:25:01 UTC
62702-759,19.4,52.0,40,96.2,49.2703,7.8265,600.0,0.0, 0,10,92,157,282,238,159,296,231,236,157,3,2,0,2025-07-15 19:25:02 MESZ,2025-07-15 17:25:03 UTC
62704-758,19.4,52.0,40,96.1,49.2703,7.8265,600.2,0.2, 0,9,92,157,282,238,158,296,230,237,157,2,2,0,2025-07-15 19:25:04 MESZ,2025-07-15 17:25:05 UTC
62706-836,19.4,52.0,40,96.2,49.2703,7.8265,600.3,0.1, 0,10,92,156,282,239,160,295,231,238,158,3,3,0,2025-07-15 19:25:06 MESZ,2025-07-15 17:25:07 UTC
62708-929,19.4,52.0,40,96.2,49.2703,7.8265,600.4,0.0, 0,9,92,156,282,239,160,295,232,238,158,3,3,1,2025-07-15 19:25:08 MESZ,2025-07-15 17:25:09 UTC
62710-927,19.4,52.0,39,96.2,49.2703,7.8265,600.4,0.0, 0,10,92,158,282,239,159,295,231,237,158,3,2,0,2025-07-15 19:25:10 MESZ,2025-07-15 17:25:11 UTC
62712-986,19.4,52.0,39,96.2,49.2703,7.8265,600.6,0.1, 0,10,93,157,282,239,158,296,231,237,158,3,3,0,2025-07-15 19:25:12 MESZ,2025-07-15 17:25:13 UTC
62714-317,19.4,52.0,40,96.2,49.2703,7.8265,600.8,0.0, 0,10,92,157,282,239,158,297,230,237,157,3,2,0,2025-07-15 19:25:14 MESZ,2025-07-15 17:25:16 UTC
62716-230,19.4,52.0,40,96.2,49.2703,7.8265,600.8,0.1, 0,11,91,157,282,239,159,296,231,238,157,3,3,0,2025-07-15 19:25:16 MESZ,2025-07-15 17:25:18 UTC
