# Umweltkontrollsystem Log
# Start: 2025-07-16 15:45:22
# ===== SENSOR-KONFIGURATION =====
# TEMPERATURSENSOR:
#   DHT11: Pin 22 (Digital) - Temp + Luftfeuchtigkeit, 0.5Hz [Temperature_DHT_C, Humidity_RH]
#   DS18B20: Pin 8 (OneWire) - 4.7K Pull-up zu 5V erforderlich
# GPS-MODUL:
#   RX: Pin 19, TX: Pin 18 (Serial1, 9600 Baud), 200Hz [GPS_Lat, GPS_Lon, GPS_Alt, GPS_Speed, GPS_Course, GPS_Sats, GPS_DateTime]
# GAS-SENSOREN (MQ-Serie, 0.5Hz):
#   MQ2 (Methan,Butan,LPG,Rauch): A0 [MQ2]
#   MQ3 (Alkohol,Ethanol): A1 [MQ3]
#   MQ4 (Methan,CNG): A2 [MQ4]
#   MQ5 (Erdgas,LPG): A3 [MQ5]
#   MQ6 (LPG,Butan): A4 [MQ6]
#   MQ7 (Kohlenmonoxid CO): A5 [MQ7]
#   MQ8 (Wasserstoff H2): A6 [MQ8]
#   MQ9 (CO,entflammbare Gase): A7 [MQ9]
#   MQ135 (Luftqualitaet CO2,NH3,NOx): A8 [MQ135]
# MIKROFONE (100kHz Burst):
#   Mikrofon Klein: A9, Mikrofon Gross: A10 [Mic1, Mic2]
# RADIOAKTIVITAET:
#   Geigerzaehler: Pin 29 (Digital), 200Hz Polling [Radiation_CPS]
# LICHTSENSOR:
#   LDR: Pin A11, 0.5Hz (0-1023 = Dunkel-Hell) [Light_Level, Light_Percent]
# ZEIT/TIMESTAMP:
#   Sekunden seit Mitternacht + Millisekunden [SecSinceMidnight-MS, DateTime]
# SD-KARTE:
#   CS: Pin 10, MOSI: 51, MISO: 50, SCK: 52 (SPI)
# RTC (Real-Time Clock):
#   SDA: Pin 20, SCL: Pin 21 (I2C)
# SYSTEM: Arduino Mega 2560, 5V Versorgung
# ABTASTRATEN: GPS/Radiation=200Hz, Sensoren=0.5Hz, Mikro=100kHz
# ===================================
SecSinceMidnight-MS,Temperature_DHT_C,Humidity_RH,Light_Level,Light_Percent,GPS_Lat,GPS_Lon,GPS_Alt,GPS_Speed,GPS_Course,GPS_Sats,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,Mic1,Mic2,Radiation_CPS,DateTime,GPS_DateTime
56722-520,0.0,0.0,8,99.2,--,--,--,--,--,0,136,153,304,256,179,314,257,337,259,2,2,0,2025-07-16 17:45:22 MESZ,----/--/-- --:--:-- UTC
56724-438,32.8,30.0,7,99.6,49.3414,8.1633,127.6,0.0, 0,11,136,153,305,257,179,314,257,338,257,2,2,0,2025-07-16 17:45:24 MESZ,----/--/-- --:--:-- UTC
56726-520,32.9,30.0,7,99.3,49.3414,8.1633,128.1,0.1, 0,11,136,153,304,256,179,314,256,336,255,3,3,0,2025-07-16 17:45:26 MESZ,2025-07-16 15:45:26 UTC
56728-744,33.0,30.0,7,99.4,49.3414,8.1633,128.5,0.3, 0,11,132,152,304,256,179,314,257,334,250,3,2,0,2025-07-16 17:45:28 MESZ,2025-07-16 15:45:28 UTC
56730-743,33.1,30.0,6,99.3,49.3414,8.1633,129.1,0.2, 0,11,134,152,304,256,178,313,257,333,251,3,3,0,2025-07-16 17:45:30 MESZ,2025-07-16 15:45:30 UTC
56732-743,33.2,30.0,6,99.4,49.3414,8.1633,129.4,0.7, 0,11,135,153,303,256,179,313,257,332,251,3,3,0,2025-07-16 17:45:32 MESZ,2025-07-16 15:45:32 UTC
56734-850,33.3,30.0,7,99.4,49.3414,8.1633,130.1,0.1, 0,11,135,152,304,256,178,313,257,334,253,3,2,0,2025-07-16 17:45:34 MESZ,2025-07-16 15:45:35 UTC
56736-720,33.3,30.0,7,99.3,49.3414,8.1633,130.6,0.0, 0,11,133,151,304,256,177,314,255,334,253,3,2,0,2025-07-16 17:45:36 MESZ,2025-07-16 15:45:36 UTC
56738-721,33.3,30.0,7,99.4,49.3414,8.1633,130.7,1.7,90,11,134,153,304,255,178,313,257,334,253,2,3,0,2025-07-16 17:45:38 MESZ,2025-07-16 15:45:38 UTC
56740-798,33.3,30.0,6,99.2,49.3414,8.1633,130.5,1.2,90,11,134,152,304,257,178,313,256,334,253,3,2,0,2025-07-16 17:45:40 MESZ,2025-07-16 15:45:40 UTC
56742-720,33.2,30.0,6,99.3,49.3414,8.1633,130.5,0.3, 0,11,134,152,304,256,178,313,256,335,255,3,2,0,2025-07-16 17:45:42 MESZ,2025-07-16 15:45:43 UTC
56744-721,33.2,29.0,7,99.3,49.3414,8.1633,130.5,0.0, 0,11,134,152,305,257,178,315,258,336,256,2,3,0,2025-07-16 17:45:44 MESZ,2025-07-16 15:45:45 UTC
56745-799,33.1,29.0,7,99.3,49.3414,8.1633,130.5,0.1, 0,11,135,153,304,257,178,313,257,334,255,3,3,0,2025-07-16 17:45:45 MESZ,2025-07-16 15:45:47 UTC
56747-720,33.1,29.0,7,99.3,49.3414,8.1633,130.5,1.0, 0,11,135,152,304,257,179,313,257,334,254,3,3,0,2025-07-16 17:45:47 MESZ,2025-07-16 15:45:49 UTC
56749-720,33.0,29.0,6,99.4,49.3414,8.1633,130.5,0.0, 0,11,136,153,304,256,178,313,256,333,255,2,3,0,2025-07-16 17:45:49 MESZ,2025-07-16 15:45:51 UTC
56751-719,33.0,29.0,8,99.3,49.3414,8.1633,130.5,0.1, 0,11,135,152,306,258,178,314,257,336,256,2,3,0,2025-07-16 17:45:51 MESZ,2025-07-16 15:45:53 UTC
56753-719,32.9,30.0,7,99.4,49.3414,8.1633,131.7,0.0, 0,10,137,152,305,258,179,312,257,335,255,2,2,0,2025-07-16 17:45:53 MESZ,2025-07-16 15:45:55 UTC
56755-766,32.9,30.0,6,99.4,49.3414,8.1633,131.9,0.0, 0,11,136,153,306,258,179,315,258,337,257,3,3,0,2025-07-16 17:45:55 MESZ,2025-07-16 15:45:57 UTC
56757-720,32.8,30.0,7,99.2,49.3414,8.1633,132.3,0.1, 0,10,136,152,306,258,178,314,259,335,255,3,3,0,2025-07-16 17:45:57 MESZ,2025-07-16 15:45:59 UTC
56759-721,32.8,30.0,6,99.4,49.3414,8.1633,132.6,1.2,90,10,135,152,304,256,176,313,257,334,253,3,3,0,2025-07-16 17:45:59 MESZ,2025-07-16 15:46:01 UTC
56761-744,32.8,30.0,6,99.3,49.3414,8.1633,132.4,0.9, 0,10,134,150,304,257,177,313,256,334,253,3,3,0,2025-07-16 17:46:01 MESZ,2025-07-16 15:46:02 UTC
56763-835,32.7,30.0,6,99.3,49.3414,8.1633,132.9,0.4, 0,10,133,152,304,256,176,314,256,333,250,3,2,0,2025-07-16 17:46:03 MESZ,2025-07-16 15:46:04 UTC
56765-919,32.7,30.0,6,99.4,49.3414,8.1633,132.9,0.0, 0,11,135,151,304,257,177,314,258,334,252,3,2,0,2025-07-16 17:46:05 MESZ,2025-07-16 15:46:06 UTC
56767-970,32.6,30.0,6,99.3,49.3414,8.1633,133.0,0.3, 0,11,135,151,304,256,177,312,257,334,253,2,3,0,2025-07-16 17:46:07 MESZ,2025-07-16 15:46:09 UTC
56769-129,32.6,30.0,6,99.3,49.3414,8.1633,132.9,0.2, 0,11,134,152,304,257,178,312,257,333,251,3,3,0,2025-07-16 17:46:09 MESZ,2025-07-16 15:46:10 UTC
56771-195,32.5,30.0,5,99.4,49.3414,8.1633,133.0,0.1, 0,10,134,152,304,257,177,312,256,334,253,3,3,0,2025-07-16 17:46:11 MESZ,2025-07-16 15:46:12 UTC
56774-267,32.4,30.0,5,99.3,49.3414,8.1633,132.8,0.5, 0,11,132,152,303,257,177,311,257,334,254,2,3,0,2025-07-16 17:46:14 MESZ,2025-07-16 15:46:15 UTC
56777-360,32.3,30.0,7,99.3,49.3414,8.1633,133.0,0.0, 0,11,133,152,305,257,177,312,257,334,255,3,2,0,2025-07-16 17:46:17 MESZ,2025-07-16 15:46:17 UTC
56779-446,32.3,31.0,6,99.3,49.3414,8.1633,133.1,0.1, 0,11,133,152,304,258,178,312,257,335,256,2,2,0,2025-07-16 17:46:19 MESZ,2025-07-16 15:46:19 UTC
56781-497,32.2,31.0,6,99.4,49.3414,8.1633,133.1,0.1, 0,11,135,152,305,257,178,312,258,336,257,3,3,0,2025-07-16 17:46:21 MESZ,2025-07-16 15:46:21 UTC
56783-604,32.1,31.0,5,99.4,49.3414,8.1633,132.7,0.1, 0,11,133,153,304,258,178,312,257,335,256,3,3,0,2025-07-16 17:46:23 MESZ,2025-07-16 15:46:23 UTC
56785-563,32.1,31.0,6,99.4,49.3414,8.1633,132.8,0.9, 0,11,132,152,304,257,178,312,257,335,257,3,3,0,2025-07-16 17:46:25 MESZ,2025-07-16 15:46:25 UTC
56787-689,32.1,31.0,7,99.3,49.3414,8.1633,132.2,0.0, 0,11,132,152,304,258,179,312,257,336,257,3,2,0,2025-07-16 17:46:27 MESZ,2025-07-16 15:46:27 UTC
56789-780,32.0,31.0,6,99.3,49.3414,8.1633,132.0,0.0, 0,11,133,152,305,257,178,311,258,336,258,3,2,0,2025-07-16 17:46:29 MESZ,2025-07-16 15:46:29 UTC
56791-863,32.0,31.0,6,99.4,49.3414,8.1633,131.7,0.1, 0,11,134,153,305,257,179,312,257,335,257,3,3,0,2025-07-16 17:46:31 MESZ,2025-07-16 15:46:31 UTC
56793-916,32.0,31.0,8,99.3,49.3414,8.1633,131.2,0.1, 0,11,133,152,305,257,179,312,257,336,257,3,2,0,2025-07-16 17:46:33 MESZ,2025-07-16 15:46:34 UTC
56795-072,32.0,31.0,7,99.3,49.3414,8.1633,130.9,0.0, 0,10,134,152,305,258,179,313,258,337,258,3,3,0,2025-07-16 17:46:35 MESZ,2025-07-16 15:46:35 UTC
56797-034,32.0,31.0,7,99.3,49.3414,8.1633,130.8,0.1, 0,10,135,153,306,258,180,313,259,337,259,2,3,0,2025-07-16 17:46:37 MESZ,2025-07-16 15:46:37 UTC
56800-211,32.0,31.0,8,99.3,49.3414,8.1633,130.8,0.0, 0,10,136,153,306,258,180,314,259,338,258,2,3,0,2025-07-16 17:46:40 MESZ,2025-07-16 15:46:40 UTC
56802-304,32.0,31.0,7,99.3,49.3414,8.1633,130.7,0.2, 0,11,136,153,307,258,179,314,259,338,258,3,3,0,2025-07-16 17:46:42 MESZ,2025-07-16 15:46:42 UTC
56804-386,32.0,31.0,7,99.3,49.3414,8.1633,130.8,0.1, 0,11,135,153,306,258,180,313,259,338,260,3,2,0,2025-07-16 17:46:44 MESZ,2025-07-16 15:46:44 UTC
56806-642,32.0,31.0,7,99.4,49.3414,8.1633,130.9,0.0, 0,11,134,152,306,258,180,312,259,337,259,4,3,0,2025-07-16 17:46:46 MESZ,2025-07-16 15:46:46 UTC
56808-650,32.1,31.0,5,99.4,49.3414,8.1633,131.0,0.0, 0,10,134,153,306,258,181,313,258,338,259,3,3,0,2025-07-16 17:46:48 MESZ,2025-07-16 15:46:49 UTC
56810-582,32.1,31.0,7,99.3,49.3414,8.1633,131.0,0.1, 0,11,135,153,305,259,181,313,259,338,259,3,3,0,2025-07-16 17:46:50 MESZ,2025-07-16 15:46:51 UTC
56812-632,32.2,31.0,8,99.2,49.3414,8.1633,131.0,0.1, 0,10,136,152,307,259,181,313,260,339,260,4,3,0,2025-07-16 17:46:52 MESZ,2025-07-16 15:46:53 UTC
56814-726,32.2,31.0,7,99.4,49.3414,8.1633,131.1,0.1, 0,10,135,152,306,258,180,313,259,338,259,3,2,0,2025-07-16 17:46:54 MESZ,2025-07-16 15:46:54 UTC
56816-806,32.2,31.0,7,99.3,49.3414,8.1633,131.4,0.1, 0,10,136,153,306,259,180,312,259,338,260,2,3,0,2025-07-16 17:46:56 MESZ,2025-07-16 15:46:56 UTC
56818-858,32.2,31.0,7,99.3,49.3414,8.1633,131.6,0.2, 0,10,137,152,306,258,180,314,259,337,259,2,3,0,2025-07-16 17:46:58 MESZ,2025-07-16 15:46:59 UTC
56820-065,32.3,31.0,6,99.3,49.3414,8.1633,132.0,0.1, 0,10,137,152,305,258,181,314,260,339,260,4,3,0,2025-07-16 17:47:00 MESZ,2025-07-16 15:47:00 UTC
56822-977,32.3,31.0,6,99.4,49.3414,8.1633,132.0,0.0, 0,10,137,154,305,258,181,313,258,338,259,3,2,0,2025-07-16 17:47:02 MESZ,2025-07-16 15:47:02 UTC
56824-150,32.3,31.0,6,99.3,49.3414,8.1633,132.1,0.1, 0,9,137,152,306,259,180,313,258,337,259,2,3,0,2025-07-16 17:47:04 MESZ,2025-07-16 15:47:05 UTC
56826-194,32.4,31.0,7,99.4,49.3414,8.1633,132.0,0.6, 0,10,136,152,305,257,179,313,257,336,257,3,2,0,2025-07-16 17:47:06 MESZ,2025-07-16 15:47:07 UTC
56828-327,32.4,31.0,8,99.3,49.3414,8.1633,132.2,0.1, 0,9,135,153,305,257,178,313,258,337,258,2,2,0,2025-07-16 17:47:08 MESZ,2025-07-16 15:47:09 UTC
56830-380,32.5,31.0,6,99.4,49.3414,8.1633,132.1,0.1, 0,9,135,153,306,258,178,314,258,336,258,2,3,0,2025-07-16 17:47:10 MESZ,2025-07-16 15:47:11 UTC
56833-646,32.5,31.0,7,99.3,49.3414,8.1633,132.1,0.0, 0,10,135,152,305,259,179,315,259,338,259,3,3,0,2025-07-16 17:47:13 MESZ,2025-07-16 15:47:14 UTC
56835-500,32.6,31.0,7,99.4,49.3414,8.1633,132.1,0.1, 0,10,136,153,306,257,178,313,258,336,257,2,3,0,2025-07-16 17:47:15 MESZ,2025-07-16 15:47:16 UTC
56837-573,32.6,30.0,7,99.3,49.3414,8.1633,132.2,0.1, 0,9,135,153,305,258,178,314,259,337,259,3,3,0,2025-07-16 17:47:17 MESZ,2025-07-16 15:47:18 UTC
56840-664,32.6,30.0,7,99.3,49.3414,8.1633,132.3,0.1, 0,9,135,153,305,258,180,312,259,337,259,3,3,0,2025-07-16 17:47:20 MESZ,2025-07-16 15:47:19 UTC
56842-747,32.7,30.0,8,99.3,49.3414,8.1633,132.3,0.0, 0,9,136,153,306,258,180,315,259,338,261,3,2,0,2025-07-16 17:47:22 MESZ,2025-07-16 15:47:21 UTC
56844-801,32.7,30.0,6,99.5,49.3414,8.1633,132.5,0.1, 0,10,137,153,306,258,181,313,259,338,259,2,3,0,2025-07-16 17:47:24 MESZ,2025-07-16 15:47:24 UTC
56846-957,32.7,30.0,6,99.4,49.3414,8.1633,132.5,0.1, 0,10,137,153,306,259,181,314,259,337,259,3,3,0,2025-07-16 17:47:26 MESZ,2025-07-16 15:47:25 UTC
56848-917,32.7,30.0,6,99.4,49.3414,8.1633,132.7,0.1, 0,10,136,153,306,259,181,314,259,338,259,2,2,0,2025-07-16 17:47:28 MESZ,2025-07-16 15:47:27 UTC
56850-094,32.7,30.0,5,99.3,49.3414,8.1633,132.8,0.1, 0,11,137,153,307,259,180,314,259,340,260,3,4,0,2025-07-16 17:47:30 MESZ,2025-07-16 15:47:30 UTC
56852-135,32.7,30.0,6,99.4,49.3414,8.1633,132.9,0.1, 0,11,138,153,306,258,180,315,260,338,260,3,2,0,2025-07-16 17:47:32 MESZ,2025-07-16 15:47:32 UTC
56854-270,32.7,30.0,6,99.2,49.3414,8.1633,132.8,0.1, 0,10,137,153,307,259,181,315,261,339,261,2,2,0,2025-07-16 17:47:34 MESZ,2025-07-16 15:47:34 UTC
56856-322,32.7,30.0,6,99.4,49.3414,8.1633,132.8,0.0, 0,10,137,153,307,259,181,315,260,339,261,2,2,0,2025-07-16 17:47:36 MESZ,2025-07-16 15:47:36 UTC
56858-585,32.8,30.0,6,99.3,49.3414,8.1633,132.7,0.0, 0,10,137,153,305,258,180,314,260,338,259,2,3,0,2025-07-16 17:47:38 MESZ,2025-07-16 15:47:39 UTC
56860-546,32.8,30.0,6,99.2,49.3414,8.1633,132.7,0.0, 0,10,137,153,305,257,180,315,258,337,260,2,3,0,2025-07-16 17:47:40 MESZ,2025-07-16 15:47:41 UTC
56862-515,32.9,30.0,6,99.4,49.3414,8.1633,132.9,0.1, 0,11,137,153,305,258,180,314,259,338,259,2,2,0,2025-07-16 17:47:42 MESZ,2025-07-16 15:47:43 UTC
56865-608,32.9,30.0,8,99.4,49.3414,8.1633,133.3,0.1, 0,10,137,154,306,259,181,314,260,338,260,3,3,0,2025-07-16 17:47:45 MESZ,2025-07-16 15:47:44 UTC
56866-894,33.0,30.0,5,99.4,49.3414,8.1633,133.5,0.0, 0,11,139,153,306,260,180,315,259,338,260,2,4,0,2025-07-16 17:47:46 MESZ,2025-07-16 15:47:46 UTC
56868-835,33.0,30.0,6,99.4,49.3414,8.1633,133.6,0.1, 0,10,138,154,307,259,181,314,259,336,260,3,4,0,2025-07-16 17:47:48 MESZ,2025-07-16 15:47:49 UTC
56870-903,33.1,30.0,7,99.3,49.3414,8.1633,133.6,1.8, 0,10,138,153,307,260,180,315,260,337,259,3,4,0,2025-07-16 17:47:50 MESZ,2025-07-16 15:47:50 UTC
56872-862,33.2,30.0,6,99.3,49.3414,8.1633,133.7,0.2, 0,10,137,153,305,258,180,314,259,336,255,2,2,0,2025-07-16 17:47:52 MESZ,2025-07-16 15:47:52 UTC
