SecSinceMidnight-MS,Temperature_DHT_C,Humidity_RH,Light_Level,Light_Percent,GPS_Lat,GPS_Lon,GPS_Alt,GPS_Speed,GPS_Course,GPS_Sats,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,Mic1,Mic2,Radiation_CPS,DateTime,GPS_DateTime
21838-985,22.8,58.0,403,60.5,8.0000,8.0000,0.0,0.0,0,0,196,172,386,335,246,217,335,444,253,3,3,0,2025-07-25 08:03:58 MESZ,2025-01-01 00:00:00 UTC
21840-065,22.8,57.0,367,64.2,8.0000,8.0000,0.0,0.0,0,0,206,174,388,337,248,220,338,451,268,3,4,0,2025-07-25 08:04:00 MESZ,2025-01-01 00:00:00 UTC
21842-236,22.7,57.0,747,27.0,8.0000,8.0000,0.0,0.0,0,0,211,178,390,338,250,227,337,456,282,4,3,1,2025-07-25 08:04:02 MESZ,2025-01-01 00:00:00 UTC
21844-291,22.7,57.0,753,26.5,8.0000,8.0000,0.0,0.0,0,0,215,181,389,338,250,229,338,458,293,4,4,0,2025-07-25 08:04:04 MESZ,2025-01-01 00:00:00 UTC
21847-395,22.6,57.0,760,25.7,8.0000,8.0000,0.0,0.0,0,0,220,180,391,337,251,232,339,461,303,3,4,1,2025-07-25 08:04:07 MESZ,2025-01-01 00:00:00 UTC
21849-480,22.6,57.0,764,25.2,8.0000,8.0000,0.0,0.0,0,0,223,183,392,338,253,235,341,462,313,4,4,0,2025-07-25 08:04:09 MESZ,2025-01-01 00:00:00 UTC
21851-530,22.6,57.0,758,26.0,8.0000,8.0000,0.0,0.0,0,0,228,184,393,340,252,237,341,466,320,4,3,0,2025-07-25 08:04:11 MESZ,2025-01-01 00:00:00 UTC
21853-640,22.6,57.0,755,26.2,8.0000,8.0000,0.0,0.0,0,0,229,185,393,339,254,238,341,464,326,4,3,0,2025-07-25 08:04:13 MESZ,2025-01-01 00:00:00 UTC
21855-688,22.5,57.0,750,26.7,8.0000,8.0000,0.0,0.0,0,0,233,185,393,340,254,241,342,466,332,4,4,0,2025-07-25 08:04:15 MESZ,2025-01-01 00:00:00 UTC
21857-743,22.5,57.0,754,26.4,8.0000,8.0000,0.0,0.0,0,0,235,186,394,340,255,242,342,467,338,4,4,0,2025-07-25 08:04:17 MESZ,2025-01-01 00:00:00 UTC
21859-818,22.5,56.0,731,28.4,8.0000,8.0000,0.0,0.0,0,0,236,187,395,342,254,243,342,466,343,3,3,0,2025-07-25 08:04:19 MESZ,2025-01-01 00:00:00 UTC
21861-861,22.4,56.0,759,25.8,8.0000,8.0000,0.0,0.0,0,0,237,185,394,340,256,245,342,468,346,4,3,0,2025-07-25 08:04:21 MESZ,2025-01-01 00:00:00 UTC
21863-913,22.4,56.0,759,25.7,8.0000,8.0000,0.0,0.0,0,0,236,189,393,342,254,247,343,468,350,3,4,0,2025-07-25 08:04:23 MESZ,2025-01-01 00:00:00 UTC
21865-972,22.4,55.0,761,25.6,8.0000,8.0000,0.0,0.0,0,0,239,189,394,342,256,251,343,470,354,4,3,0,2025-07-25 08:04:25 MESZ,2025-01-01 00:00:00 UTC
21867-141,22.3,55.0,761,25.7,8.0000,8.0000,0.0,0.0,0,0,240,188,397,341,255,251,343,469,356,4,3,0,2025-07-25 08:04:27 MESZ,2025-01-01 00:00:00 UTC
21869-196,22.3,54.0,740,27.7,8.0000,8.0000,0.0,0.0,0,0,241,189,396,342,255,251,343,468,359,3,4,0,2025-07-25 08:04:29 MESZ,2025-01-01 00:00:00 UTC
21871-273,22.2,54.0,751,26.6,8.0000,8.0000,0.0,0.0,0,0,241,190,395,343,255,254,343,469,362,3,3,0,2025-07-25 08:04:31 MESZ,2025-01-01 00:00:00 UTC
21874-385,22.2,54.0,762,25.5,8.0000,8.0000,0.0,0.0,0,0,242,190,396,344,257,255,345,469,365,3,3,0,2025-07-25 08:04:34 MESZ,2025-01-01 00:00:00 UTC
21876-487,22.1,53.0,761,25.5,8.0000,8.0000,0.0,0.0,0,0,243,191,397,342,256,256,343,469,366,3,3,0,2025-07-25 08:04:36 MESZ,2025-01-01 00:00:00 UTC
21878-441,22.1,53.0,756,26.1,8.0000,8.0000,0.0,0.0,0,0,242,190,396,343,256,256,344,469,368,3,3,0,2025-07-25 08:04:38 MESZ,2025-01-01 00:00:00 UTC
21880-612,22.0,53.0,759,25.8,8.0000,8.0000,0.0,0.0,0,0,243,191,396,342,257,258,344,469,369,3,3,0,2025-07-25 08:04:40 MESZ,2025-01-01 00:00:00 UTC
21882-648,22.0,52.0,756,26.2,8.0000,8.0000,0.0,0.0,0,0,243,191,396,342,257,260,343,469,372,4,4,0,2025-07-25 08:04:42 MESZ,2025-01-01 00:00:00 UTC
21884-724,21.9,52.0,755,26.3,8.0000,8.0000,0.0,0.0,0,0,244,192,397,343,256,262,344,470,373,4,4,0,2025-07-25 08:04:44 MESZ,2025-01-01 00:00:00 UTC
21886-766,21.8,52.0,763,25.5,8.0000,8.0000,0.0,0.0,0,0,244,192,397,341,256,262,344,470,374,3,3,0,2025-07-25 08:04:46 MESZ,2025-01-01 00:00:00 UTC
21888-816,21.8,51.0,752,26.5,8.0000,8.0000,0.0,0.0,0,0,245,192,395,342,255,263,343,469,374,3,3,1,2025-07-25 08:04:48 MESZ,2025-01-01 00:00:00 UTC
21890-874,21.7,51.0,764,25.4,8.0000,8.0000,0.0,0.0,0,0,245,192,398,342,257,266,345,469,378,3,3,0,2025-07-25 08:04:50 MESZ,2025-01-01 00:00:00 UTC
21892-046,21.7,51.0,743,27.4,8.0000,8.0000,0.0,0.0,0,0,244,192,397,344,257,266,345,471,377,4,4,0,2025-07-25 08:04:52 MESZ,2025-01-01 00:00:00 UTC
21894-101,21.6,51.0,757,26.0,8.0000,8.0000,0.0,0.0,0,0,244,192,396,341,257,267,343,468,377,3,3,0,2025-07-25 08:04:54 MESZ,2025-01-01 00:00:00 UTC
21896-178,21.5,51.0,761,25.7,8.0000,8.0000,0.0,0.0,0,0,244,193,398,343,257,268,344,469,380,3,3,0,2025-07-25 08:04:56 MESZ,2025-01-01 00:00:00 UTC
21899-221,21.5,50.0,745,27.3,8.0000,8.0000,0.0,0.0,0,0,245,194,398,343,257,270,346,470,381,2,3,0,2025-07-25 08:04:59 MESZ,2025-01-01 00:00:00 UTC
21901-341,21.4,50.0,764,25.4,8.0000,8.0000,0.0,0.0,0,0,245,194,397,344,256,270,343,468,380,4,3,0,2025-07-25 08:05:01 MESZ,2025-01-01 00:00:00 UTC
21903-346,21.3,50.0,763,25.4,8.0000,8.0000,0.0,0.0,0,0,245,195,398,344,256,272,344,470,383,3,4,0,2025-07-25 08:05:03 MESZ,2025-01-01 00:00:00 UTC
21905-621,21.3,50.0,751,26.5,8.0000,8.0000,0.0,0.0,0,0,244,192,399,343,257,270,345,469,384,3,3,0,2025-07-25 08:05:05 MESZ,2025-01-01 00:00:00 UTC
21907-553,21.2,50.0,758,25.8,8.0000,8.0000,0.0,0.0,0,0,244,192,396,342,256,270,344,466,383,3,3,0,2025-07-25 08:05:07 MESZ,2025-01-01 00:00:00 UTC
21909-628,21.2,50.0,751,26.6,8.0000,8.0000,0.0,0.0,0,0,244,190,397,343,257,271,344,468,384,2,2,0,2025-07-25 08:05:09 MESZ,2025-01-01 00:00:00 UTC
21911-672,21.1,50.0,750,26.8,8.0000,8.0000,0.0,0.0,0,0,245,191,397,343,257,271,344,467,385,3,3,0,2025-07-25 08:05:11 MESZ,2025-01-01 00:00:00 UTC
21913-722,21.0,50.0,742,27.5,8.0000,8.0000,0.0,0.0,0,0,246,191,398,342,257,272,345,469,387,3,3,0,2025-07-25 08:05:13 MESZ,2025-01-01 00:00:00 UTC
21915-779,21.0,50.0,749,26.8,8.0000,8.0000,0.0,0.0,0,0,245,191,399,344,258,274,346,469,386,3,3,0,2025-07-25 08:05:15 MESZ,2025-01-01 00:00:00 UTC
21917-950,20.9,49.0,764,25.4,8.0000,8.0000,0.0,0.0,0,0,244,190,397,343,257,273,345,468,388,2,3,0,2025-07-25 08:05:17 MESZ,2025-01-01 00:00:00 UTC
21919-006,20.8,49.0,752,26.5,8.0000,8.0000,0.0,0.0,0,0,245,190,398,343,257,276,345,468,387,3,3,0,2025-07-25 08:05:19 MESZ,2025-01-01 00:00:00 UTC
21921-083,20.8,49.0,752,26.5,8.0000,8.0000,0.0,0.0,0,0,246,190,398,344,259,277,345,469,388,3,2,0,2025-07-25 08:05:21 MESZ,2025-01-01 00:00:00 UTC
21923-127,20.7,49.0,749,26.9,8.0000,8.0000,0.0,0.0,0,0,246,190,400,344,258,278,346,471,389,2,3,0,2025-07-25 08:05:23 MESZ,2025-01-01 00:00:00 UTC
21926-196,20.7,49.0,743,27.5,8.0000,8.0000,0.0,0.0,0,0,246,192,399,344,258,280,346,469,390,3,3,0,2025-07-25 08:05:26 MESZ,2025-01-01 00:00:00 UTC
21928-306,20.6,49.0,758,25.8,8.0000,8.0000,0.0,0.0,0,0,246,192,398,344,257,281,345,469,390,2,3,0,2025-07-25 08:05:28 MESZ,2025-01-01 00:00:00 UTC
21930-477,20.5,49.0,768,24.9,8.0000,8.0000,0.0,0.0,0,0,247,192,402,346,260,282,347,472,392,3,2,0,2025-07-25 08:05:30 MESZ,2025-01-01 00:00:00 UTC
21932-461,20.5,49.0,757,26.1,8.0000,8.0000,0.0,0.0,0,0,247,192,400,346,259,282,346,469,392,3,3,0,2025-07-25 08:05:32 MESZ,2025-01-01 00:00:00 UTC
21934-537,20.4,49.0,744,27.2,8.0000,8.0000,0.0,0.0,0,0,245,192,401,346,259,282,346,470,391,4,3,0,2025-07-25 08:05:34 MESZ,2025-01-01 00:00:00 UTC
21936-578,20.3,49.0,758,26.0,8.0000,8.0000,0.0,0.0,0,0,247,193,400,345,258,283,346,470,392,3,3,0,2025-07-25 08:05:36 MESZ,2025-01-01 00:00:00 UTC
21938-628,20.3,49.0,754,26.3,8.0000,8.0000,0.0,0.0,0,0,246,192,400,346,259,284,346,469,393,2,3,0,2025-07-25 08:05:38 MESZ,2025-01-01 00:00:00 UTC
21940-687,20.2,49.0,740,27.6,8.0000,8.0000,0.0,0.0,0,0,247,193,402,346,259,286,348,469,394,3,4,0,2025-07-25 08:05:40 MESZ,2025-01-01 00:00:00 UTC
21942-859,20.2,49.0,763,25.2,8.0000,8.0000,0.0,0.0,0,0,246,193,400,346,260,286,347,470,393,3,3,0,2025-07-25 08:05:42 MESZ,2025-01-01 00:00:00 UTC
21944-913,20.1,49.0,750,26.7,8.0000,8.0000,0.0,0.0,0,0,247,193,400,345,259,287,347,469,394,3,3,0,2025-07-25 08:05:44 MESZ,2025-01-01 00:00:00 UTC
21946-989,20.0,49.0,757,26.0,8.0000,8.0000,0.0,0.0,0,0,248,193,402,346,260,288,347,470,394,3,3,0,2025-07-25 08:05:46 MESZ,2025-01-01 00:00:00 UTC
21948-031,20.0,49.0,758,26.0,8.0000,8.0000,0.0,0.0,0,0,248,195,402,346,260,288,347,470,395,3,3,0,2025-07-25 08:05:48 MESZ,2025-01-01 00:00:00 UTC
