GPS_Lat|GPS_Lon|Street
49,202|7,8565|
49,202|7,8568|
49,202|7,8571|
49,202|7,8562|
49,2021|7,8559|
49,2021|7,8574|
49,2022|7,8576|
49,2023|7,8557|
49,2023|7,8577|
49,2025|7,8555|
49,2025|7,8576|
49,2027|7,8574|
49,2027|7,8554|
49,2028|7,8574|
49,2029|7,8551|
49,2029|7,8574|
49,203|7,8549|
49,203|7,8575|
49,203|7,8577|
49,2031|7,8547|
49,2031|7,858|
49,2032|7,8583|
49,2032|7,8587|
49,2033|7,8545|
49,2033|7,8591|
49,2034|7,8543|
49,2034|7,8596|
49,2034|7,86|
49,2035|7,8541|
49,2035|7,8605|
49,2035|7,861|
49,2036|7,8539|
49,2036|7,8538|
49,2036|7,854|
49,2036|7,8617|
49,2037|7,8622|
49,2037|7,8627|
49,2038|7,8636|
49,2038|7,8631|
49,2039|7,8641|
49,2039|7,8645|
49,204|7,865|
49,204|7,8655|
49,2041|7,8659|
49,2042|7,8664|
49,2043|7,8669|
49,2044|7,8673|
49,2045|7,8677|
49,2047|7,8681|
49,2049|7,8685|
49,205|7,8689|
49,2052|7,8693|
49,2054|7,8697|
49,2056|7,8701|
49,2057|7,8705|
49,2059|7,8709|
49,2061|7,8713|
49,2061|7,8782|
49,2061|7,8788|
49,2061|7,8793|
49,2061|7,8797|
49,2062|7,8718|
49,2062|7,8771|
49,2062|7,8777|
49,2062|7,8804|
49,2062|7,8808|
49,2063|7,8722|
49,2063|7,876|
49,2063|7,8766|
49,2063|7,8812|
49,2064|7,8727|
49,2064|7,875|
49,2064|7,8755|
49,2064|7,8817|
49,2065|7,8732|
49,2065|7,874|
49,2065|7,8745|
49,2065|7,8821|
49,2067|7,8826|
49,2068|7,883|
49,207|7,8835|
49,2072|7,8839|
49,2074|7,8842|
49,2076|7,8846|
49,2079|7,8849|
49,2081|7,8852|
49,2085|7,8856|
49,2088|7,8858|
49,2091|7,886|
49,2093|7,8862|
49,2096|7,8864|
49,2099|7,8866|
49,2102|7,8868|
49,2105|7,887|
49,2108|7,8872|
49,2111|7,8874|
49,2114|7,8876|
49,2117|7,8878|
49,2121|7,8881|
49,2124|7,8883|
49,2127|7,8886|
49,213|7,8889|
49,2132|7,8892|
49,2135|7,8895|
49,2138|7,8899|
49,214|7,8903|
49,2142|7,8908|
49,2144|7,8912|
49,2146|7,8916|
49,2148|7,8921|
49,2151|7,8927|
49,2152|7,893|
49,2154|7,8934|
49,2156|7,8937|
49,2158|7,894|
49,2159|7,8943|
49,2161|7,8946|
49,2163|7,8949|
49,2165|7,8952|
49,2167|7,8955|
49,217|7,8957|
49,2172|7,896|
49,2175|7,8964|
49,2178|7,8967|
49,218|7,897|
49,2182|7,8973|
49,2185|7,8976|
49,2187|7,8979|
49,219|7,8982|
49,2192|7,8985|
49,2195|7,8987|
49,2197|7,899|
49,22|7,8992|
49,2202|7,8994|
49,2206|7,8998|
49,2208|7,9|
49,2211|7,9003|
49,2213|7,9005|
49,2215|7,9008|
49,2217|7,9011|
49,2219|7,9015|
49,2221|7,9018|
49,2223|7,9022|
49,2225|7,9025|
49,2227|7,9028|
49,2228|7,9032|
49,223|7,9036|
49,2232|7,9042|
49,2233|7,9045|
49,2235|7,9049|
49,2236|7,9053|
49,2237|7,9058|
49,2238|7,9062|
49,2239|7,9066|
49,2239|7,907|
49,224|7,9073|
49,224|7,9076|
49,224|7,9078|
49,224|7,9079|
49,224|7,908|
49,2702|7,8265|
49,2703|7,8265|
49,2703|0|
49,2703|7,8264|
49,2703|7,8266|
49,2704|7,8265|
49,3175|8,1964|
49,3175|8,1959|
49,3175|8,1955|
49,3175|8,195|
49,3176|8,1977|
49,3176|8,1973|
49,3176|8,1968|
49,3176|8,1946|
49,3176|8,1939|
49,3177|8,199|
49,3177|8,1981|
49,3177|8,1935|
49,3177|8,1931|
49,3177|8,1985|
49,3178|8,2004|
49,3178|8,2|
49,3178|8,1994|
49,3178|8,1927|
49,3179|8,201|
49,3179|8,2007|
49,3179|8,1923|
49,3179|8,1919|
49,318|8,2016|
49,318|8,2013|
49,318|8,1915|
49,318|8,2019|
49,3181|8,2025|
49,3181|8,2022|
49,3181|8,1912|
49,3182|8,2028|
49,3182|8,1908|
49,3184|8,2029|
49,3184|8,1904|
49,3185|8,1901|
49,3186|8,2029|
49,3186|8,1897|
49,3188|8,2029|
49,3188|8,1894|
49,319|8,2028|
49,319|8,1889|
49,3191|8,2008|
49,3191|8,201|
49,3191|8,1886|
49,3192|8,2007|
49,3192|8,2012|
49,3192|8,2028|
49,3193|8,2008|
49,3193|8,2014|
49,3193|8,2017|
49,3193|8,2019|
49,3193|8,1883|
49,3194|8,2008|
49,3194|8,2022|
49,3194|8,2025|
49,3194|8,2027|
49,3195|8,2008|
49,3195|8,188|
