SecSinceMidnight-MS,Temperature_DHT_C,Humidity_RH,Light_Level,Light_Percent,GPS_Lat,GPS_Lon,GPS_Alt,GPS_Speed,GPS_Course,GPS_Sats,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,Mic1,Mic2,Radiation_CPS,DateTime,GPS_DateTime,Temp_Diff,Humidity_Diff
50470-346,23.2,63.0,293,71.4,49.3527,8.1644,87.4,3.6,0,4,-52412.16590734934,-154836.57731231445,-30416.685212285895,-26610.75715672067,-20872.608378807643,2712.582862297075,-33278.016926002856,-230507.28978520798,385,2,2,1,2025-07-25 16:01:10,2025-07-25 14:01:11,-1.5841760856632945,5.907792980368825
50472-379,23.2,63.0,293,71.4,49.3527,8.1644,85.5,1.9,0,4,-52168.388391501205,-154836.57731231445,-30416.685212285895,-26530.604273718494,-20786.35793096133,2704.941783811731,-33378.8594015362,-230507.28978520798,385,2,3,0,2025-07-25 16:01:12,2025-07-25 14:01:13,-1.5841760856632945,5.907792980368825
50474-429,23.2,63.0,291,71.6,49.3527,8.1644,84.2,2.9,0,4,-52412.16590734934,-154126.31778335889,-30338.693711741573,-26530.604273718494,-20872.608378807643,2697.3007053263873,-33278.016926002856,-230507.28978520798,384,2,3,1,2025-07-25 16:01:14,2025-07-25 14:01:15,-1.5841760856632945,5.907792980368825
50476-466,23.3,63.0,292,71.5,49.3527,8.1644,84.7,3.0,0,4,-48968.8415142221,-145332.45151296348,-28637.05747973866,-24993.87025870982,-19650.70448392343,2529.8343062399485,-31320.362586329986,-216301.09141272545,384,3,3,0,2025-07-25 16:01:16,2025-07-25 14:01:17,-1.484176085663293,5.907792980368825
50478-637,23.3,63.0,290,71.7,49.3527,8.1644,83.4,2.3,0,4,-48968.8415142221,-145332.45151296348,-28637.05747973866,-24993.87025870982,-19731.905742121464,2529.8343062399485,-31320.362586329986,-215807.2533044772,385,3,2,0,2025-07-25 16:01:18,2025-07-25 14:01:19,-1.484176085663293,5.907792980368825
50481-688,23.3,63.0,290,71.7,49.3527,8.1644,82.3,4.5,0,4,-49197.667876438085,-145332.45151296348,-28637.05747973866,-24918.360076659334,-19731.905742121464,2537.0213355190394,-31320.362586329986,-215807.2533044772,385,3,2,0,2025-07-25 16:01:21,2025-07-25 14:01:21,-1.484176085663293,5.907792980368825
50483-766,23.3,63.0,288,71.8,49.3527,8.1644,83.9,4.4,0,4,-49197.667876438085,-145999.1141345826,-28783.914184762965,-24993.87025870982,-19731.905742121464,2529.8343062399485,-31415.272775985537,-216301.09141272545,386,3,3,0,2025-07-25 16:01:23,2025-07-25 14:01:23,-1.484176085663293,5.907792980368825
50485-807,23.3,63.0,290,71.7,49.3527,8.1643,81.8,2.5,0,4,-49197.667876438085,-145332.45151296348,-28710.485832250815,-25069.3804407603,-19731.905742121464,2529.8343062399485,-31415.272775985537,-216301.09141272545,386,3,2,0,2025-07-25 16:01:25,2025-07-25 14:01:25,-1.484176085663293,5.907792980368825
50487-857,23.3,62.0,288,71.7,49.3527,8.1643,83.8,1.7,0,4,-39667.525038181215,-120025.77599064597,-22939.788932287556,-20183.41301394897,-15858.587396960775,3065.8498457659593,-25323.035662665727,-177556.1451210106,386,2,3,0,2025-07-25 16:01:27,2025-07-25 14:01:27,-1.484176085663293,4.907792980368825
50489-915,23.3,62.0,289,71.7,49.3527,8.1643,84.5,0.8,0,4,-39667.525038181215,-119477.7130865791,-22939.788932287556,-20061.82618856374,-15793.32572043007,3065.8498457659593,-25246.531023201474,-176345.53504064007,386,2,3,0,2025-07-25 16:01:29,2025-07-25 14:01:29,-1.484176085663293,4.907792980368825
